cid,cas,name,group,Volume,Volume publication year,Evaluation year,Additional information
,,"Aloe vera, whole leaf extract",2B,108,2016,2013.0,
,,Clonorchis sinensis (infection with),1,"61, 100B",2012,2009.0,
,,"Fusarium graminearum, F. culmorum, and F. crookwellense, toxins derived from (zearalenone, deoxynivalenol, nivalenol, and fusarenone X)",3,"Sup 7, 56",1993,1992.0,
,,"Fusarium sporotrichioides, toxins derived from (T-2 toxin)",3,56,1993,1992.0,
,,Helicobacter pylori (infection with),1,"61, 100B",2012,2009.0,
,,Microcystis extracts,3,94,2010,2006.0,
,,Opisthorchis felineus (infection with),3,61,1994,1994.0,
,,Opisthorchis viverrini (infection with),1,"61, 100B",2012,2009.0,
,,Schistosoma haematobium (infection with),1,"61, 100B",2012,2009.0,
,,Schistosoma japonicum (infection with),2B,61,1994,1994.0,
,,Schistosoma mansoni (infection with),3,61,1994,1994.0,
,,"Acheson process, occupational exposure associated with",1,111,2017,2014.0,
,,"Acid mists, strong inorganic",1,"54, 100F",2012,2009.0,
,,Acrylic fibres,3,"19, Sup 7",1987,1987.0,
,,Acrylonitrile-butadiene-styrene copolymers,3,"19, Sup 7",1987,1987.0,
,,Alcoholic beverages,1,"44, 96, 100E",2012,2009.0,
,,Alpha particles (see Radionuclides),,,,,
,,Aluminium production,1,"34, Sup 7, 92, 100F",2012,2009.0,
,,"Anaesthetics, volatile",3,"11, Sup 7",1987,1987.0,
,,Androgenic (anabolic) steroids,2A,Sup 7,1987,1987.0,
,,Areca nut,1,"85, 100E",2012,2009.0,
2230,,Arecoline,2B,128,2021 online,2020.0,
,,"Art glass, glass containers and pressed ware (manufacture of)",2A,58,1993,1993.0,
,,Auramine production,1,"Sup 7, 99, 100F",2012,2009.0,
,,BK polyomavirus (BKV),2B,104,2014,2012.0,
,,"Benzidine, dyes metabolized to",1,"99, 100F",2012,2009.0,NB Overall evaluation upgraded to Group 1 based on mechanistic and other relevant data
,,Beta particles (see Radionuclides),,,,,
,,Betel quid with tobacco,1,"Sup 7, 85, 100E",2012,2009.0,
,,Betel quid without tobacco,1,"Sup 7, 85, 100E",2012,2009.0,
,,"Biomass fuel (primarily wood), indoor emissions from household combustion of",2A,95,2010,2006.0,
,,Bisulfites,3,54,1992,1991.0,
,,"Bitumens, occupational exposure to hard bitumens and their emissions during mastic asphalt work",2B,103,2013,2011.0,
,,"Boot and shoe manufacture and repair (see Leather dust, Benzene)",,"25, Sup 7",1987,1987.0,
,,Bracken fern,2B,"40, Sup 7",1987,1987.0,
,,Calcium carbide production,3,92,2010,2005.0,
,,Carbon electrode manufacture,2A,92,2010,2005.0,
,,Carpentry and joinery,2B,"25, Sup 7",1987,1987.0,
,,Ceramic implants,3,74,1999,1999.0,
,,Chimney sweeping (see Soot),,92,2010,2005.0,
,,Chlorinated drinking-water,3,52,1991,1990.0,
,,Chlorinated paraffins of average carbon chain length C12 and average degree of chlorination approximately 60%,2B,48,1990,1989.0,
,,Chlorophenols (see Polychlorophenols),,,,,
,,Chlorophenoxy herbicides,2B,"41, Sup 7",1987,1987.0,
,,Coal dust,3,68,1997,1996.0,
,,Coal gasification,1,"Sup 7, 92, 100F",2012,2009.0,
,,"Coal, indoor emissions from household combustion of",1,"95, 100E",2012,2009.0,
,,"Cobalt and cobalt compounds, see Soluble cobalt(II) salts, Cobalt metal (without tungsten carbide or other metal alloys), Cobalt(II) oxide, Cobalt(II,III) oxide, Cobalt(II) sulfide, and Other cobalt(II) compounds (not including Soluble cobalt(II) salts, Cobalt(II) oxide, Cobalt(II,III) oxide, or Cobalt(II) sulfide)",,,,,
,,"Cobalt metal without tungsten carbide, see Cobalt metal (without tungsten carbide or other metal alloys)",,,,,
,,"Cobalt sulfate and other soluble cobalt(II) salts, see Soluble cobalt(II) salts",,,,,
,,"Coffee, drinking",3,"51, 116",2018 online,2016.0,"NB There is ""evidence suggesting lack of carcinogenicity"" in humans of coffee drinking for cancers of the pancreas, liver, female breast, uterine endometrium, and prostate.  Inverse associations with coffee drinking have been observed with cancers of the liver and uterine endometrium."
,,Coke production,1,"Sup 7, 92, 100F",2012,2009.0,
,,Continuous glass filament (see Glass filament),,,,,
,,Dental materials,3,74,1999,1999.0,
,,"Depleted uranium (see Radionuclides, alpha-particle-emitting, internally deposited)",,,,,
,,"Diesel engine exhaust (see Engine exhaust, diesel)",,,,,
,,"Diesel fuel, marine",2B,45,1989,1988.0,NB Overall evaluation upgraded to Group 2B with supporting evidence from other relevant data
,,"Diesel fuels, distillate (light)",3,45,1989,1988.0,
,,Dry cleaning (occupational exposures in),2B,63,1995,1995.0,
,,"Dyes metabolized to benzidine (see Benzidine, dyes metabolized to)",,,,,
,,"Electric fields, extremely low-frequency",3,80,2002,2001.0,
,,"Electric fields, static",3,80,2002,2001.0,
,,"Engine exhaust, diesel",1,"46, 105",2014,2012.0,
,,"Engine exhaust, gasoline",2B,"46, 105",2014,2012.0,
,,Epstein-Barr virus,1,"70, 100B",2012,2009.0,
,,"Estrogen therapy, postmenopausal",1,"72, 100A",2012,2008.0,"NB There is ""evidence suggesting lack of carcinogenicity"" for estrogen-only menopausal therapy in humans and  cancer of the  colorectum. An inverse association has been observed between estrogen-only menopausal therapy and cancer  of the colorectum."
,,Estrogen-progestogen menopausal therapy (combined),1,"72, 91, 100A",2012,2008.0,
,,Estrogen-progestogen oral contraceptives (combined),1,"72, 91, 100A",2012,2008.0,"NB There is ""evidence suggesting lack of carcinogenicity"" for combined estrogen-progestogen oral  contraceptives in humans and cancers of the endometrium, ovary, and colorectum. An inverse association has been  observed between combined estrogen-progestogen oral contraceptives and cancers of the endometrium, ovary, and colorectum."
,,Firefighter (occupational exposure as a),1,"98, 132",2023 online,2022.0,
,,"Fission products, including strontium-90",1,100D,2012,2009.0,
,,Flat-glass and specialty glass (manufacture of),3,58,1993,1993.0,
,,Fluorescent lighting,3,55,1992,1992.0,
,,Fluoro-edenite fibrous amphibole,1,111,2017,2014.0,
,,"Foreign  bodies (see Ceramic implants, Dental materials, Implanted foreign bodies, Metallic implants, Organic polymeric materials, Orthopaedic implants, Polymeric implants, Silicone breast implants)",,,,,
,,"Frying, emissions from high-temperature",2A,95,2010,2006.0,
,,"Fuel oils, distillate (light)",3,45,1989,1988.0,
,,"Fuel oils, residual (heavy)",2B,45,1989,1988.0,
,,Furniture and cabinet making (see Wood dust),,"25, Sup 7",1987,1987.0,
,,Gamma-Radiation (see X- and Gamma-Radiation),,,,,
,,Gasoline (see also Gasoline engine exhaust),2B,45,1989,1988.0,NB Overall evaluation upgraded to Group 2B with supporting evidence from other relevant data
,,"Gasoline engine exhaust (see Engine exhaust, gasoline)",,,,,
,,"Glass filament, continuous",3,"43, 81",2002,2001.0,
,,Goldenseal root powder,2B,108,2016,2013.0,
,,Haematite mining (underground),1,"1, Sup 7, 100D",2012,2009.0,
,,Hair colouring products (personal use of),3,"57, 99",2010,2008.0,
,,Hairdresser or barber (occupational exposure as a),2A,"57, 99",2010,2008.0,
,,Hepatitis B virus (chronic infection with),1,"59, 100B",2012,2009.0,
,,Hepatitis C virus (chronic infection with),1,"59, 100B",2012,2009.0,
,,Hepatitis D virus,3,59,1994,1993.0,
727,,Hexachlorocyclohexanes,2B,"20, Sup 7",1987,1987.0,
,,High-temperature frying (see Frying),,,,,
,,"Household combustion of biomass fuel (see Biomass fuel, indoor emissions from household combustion of)",,,,,
,,"Household combustion of coal (see Coal, indoor emissions from household combustion)",,,,,
,,Human T-cell lymphotropic virus type I,1,"67, 100B",2012,2009.0,
,,Human T-cell lymphotropic virus type II,3,67,1996,1996.0,
,,Human herpesvirus type 4 (see Epstein-Barr virus),,,,,
,,Human herpesvirus type 8 (see Kaposi sarcoma herpesvirus),,,,,
,,Human immunodeficiency virus type 1 (infection with),1,"67, 100B",2012,2009.0,
,,Human immunodeficiency virus type 2 (infection with),2B,67,1996,1996.0,
,,Human papillomavirus (HPV) genus beta (except types 5 and 8) and genus gamma,3,"90, 100B",2012,2009.0,
,,Human papillomavirus (HPV) type 16,1,"64, 90, 100B",2012,2009.0,NB The HPV types that have been classified as carcinogenic to humans can differ by an order of  magnitude in risk for cervical cancer
,,Human papillomavirus (HPV) type 18,1,"64, 90, 100B",2012,2009.0,NB The HPV types that have been classified as carcinogenic to humans can differ by an order of  magnitude in risk for cervical cancer
,,Human papillomavirus (HPV) type 33,1,"64, 90, 100B",2012,2009.0,NB The HPV types that have been classified as carcinogenic to humans can differ by an order of  magnitude in risk for cervical cancer
,,Human papillomavirus (HPV) type 68,2A,100B,2012,2009.0,
,,"Human papillomavirus (HPV) types 31, 35, 39, 45, 51, 52, 56, 58, 59",1,"64, 90, 100B",2012,2009.0,NB The HPV types that have been classified as carcinogenic to humans can differ by an order of magnitude in risk for cervical cancer
,,"Human papillomavirus (HPV) types 26, 53, 66, 67, 70, 73, 82",2B,100B,2012,2009.0,
,,"Human papillomavirus (HPV) types 30, 34, 69, 85, 97",2B,100B,2012,2009.0,NB Classified by phylogenetic analogy to the HPV genus alpha types classified in Group 1
,,Human papillomavirus (HPV) types 5 and 8 (in patients with epidermodysplasia verruciformis),2B,100B,2012,2009.0,
,,Human papillomavirus (HPV) types 6 and 11,3,"90, 100B",2012,2009.0,
,,Hypochlorite salts,3,52,1991,1990.0,
,,"Implanted foreign bodies of metallic chromium or titanium and of cobalt-based, chromium-based, and titanium-based alloys, and stainless steel",3,74,1999,1999.0,
,,"Implanted foreign bodies of metallic cobalt, metallic nickel and an alloy powder containing 66-67% nickel, 13-16% chromium, and 7% iron",2B,74,1999,1999.0,
,,Insulation glass wool,3,"43, 81",2002,2001.0,
,,"Involuntary smoking (see Tobacco smoke, second-hand)",,,,,
,,Ionizing radiation (all types),1,100D,2012,2009.0,
,,Iron and steel founding (occupational exposure during),1,"34, Sup 7, 100F",2012,2009.0,
,,Isopropyl alcohol manufacture using strong acids,1,"Sup 7, 100F",2012,2009.0,
,,Isopropyl oils,3,"15, Sup 7, 71",1999,1998.0,
,,JC polyomavirus (JCV),2B,104,2014,2012.0,
,,Jet fuel,3,45,1989,1988.0,
,,Kaposi sarcoma herpesvirus,1,"70, 100B",2012,2009.0,
,,"Lead compounds, inorganic",2A,"Sup 7, 87",2006,2004.0,
,,"Lead compounds, organic",3,"23, Sup 7, 87",2006,2004.0,"NB Organic lead compounds are metabolized at least in part, to ionic lead both in humans and animals. To the extent that ionic lead, generated from organic lead, is present in the body, it will be expected to exert the toxicities associated with inorganic lead"
,,Leather dust,1,100C,2012,2009.0,
,,Leather goods manufacture (see also Leather dust),3,"25, Sup 7",1987,1987.0,
,,Leather tanning and processing,3,"25, Sup 7",1987,1987.0,
,,Lumber and sawmill industries (including logging),3,"25, Sup 7",1987,1987.0,
,,MOPP and other combined chemotherapy including alkylating agents,1,"Sup 7, 100A",2012,2008.0,
,,Madder root (Rubia tinctorum),3,82,2002,2002.0,
,,Magenta production,1,"Sup 7, 57, 99, 100F",2012,2009.0,
,,"Magnetic fields, extremely low-frequency",2B,80,2002,2001.0,
,,"Magnetic fields, static",3,80,2002,2001.0,
,,Malaria (caused by infection with Plasmodium falciparum in holoendemic areas),2A,104,2014,2012.0,
,,"Mate, hot (see Very hot beverages)",,,,,
,,"Mate, not very hot (drinking)",3,"51, 116",2018 online,2016.0,
,,Merkel cell polyomavirus (MCV),2A,104,2014,2012.0,
,,Metabisulfites,3,54,1992,1991.0,
,,Metallic implants prepared as thin smooth films,2B,74,1999,1999.0,
,,Methylmercury compounds,2B,58,1993,1993.0,NB Evaluated as a group
,,"Mineral oils, highly-refined",3,"33, Sup 7",1987,2009.0,
,,"Mineral oils, untreated or mildly treated",1,"33, Sup 7, 100F",2012,2009.0,
,,Modacrylic fibres,3,"19, Sup 7",1987,1987.0,
,,Neutron radiation,1,"75, 100D",2012,2009.0,NB Overall evaluation upgraded to Group 1 with supporting evidence from other relevant data
,,Nickel compounds,1,"Sup 7, 49, 100C",2012,2009.0,
,,Nickel refining (see Nickel compounds),,11,1976,1976.0,
,,Night shift work,2A,"98, 124",2020 online,2019.0,NB Volume 98 evaluated shiftwork that involves circadian disruption
,,Nitrate or nitrite (ingested) under conditions that result in endogenous nitrosation,2A,94,2010,2006.0,
,,Non-arsenical insecticides (occupational exposures in spraying and application of),2A,53,1991,1990.0,
,,Oestrogen (see Estrogen),,,,,
,,Opium consumption,1,126,2021 online,2020.0,
,,"Oral contraceptives, combined estrogen-progestogen (see Estrogen-progestogen oral contraceptives)",,,,,
,,Organic polymeric materials,3,74,1999,1999.0,
,,Orthopaedic implants of complex composition and cardiac pacemakers,3,74,1999,1999.0,
,,"Other cobalt(II) compounds (not including Soluble cobalt(II) salts, Cobalt(II) oxide, Cobalt(II,III) oxide, and Cobalt(II) sulfide)",3,"52, 86, 131",2023 online,2022.0,
,,Outdoor air pollution,1,109,2016,2013.0,
,,"Outdoor air pollution, particulate matter in",1,109,2016,2013.0,
,,Oxymetholone (see Androgenic (anabolic) steroids),,,,,
,,Paint manufacture (occupational exposure in),3,47,1989,2009.0,
,,Painter (occupational exposure as a),1,"47, 98, 100F",2012,2009.0,
,,"Particulate matter in outdoor air pollution (see Outdoor air pollution, particulate matter in)",,,,,
,,Paving and roofing with coal-tar pitch (see Coal-tar pitch),,"35, Sup 7, 92, 100F",,,
73608879,,Pentavalent antimony,3,131,2023 online,2022.0,
,,Petroleum refining (occupational exposures in),2A,45,1989,1988.0,
,,Petroleum solvents,3,47,1989,1988.0,
,,"Phenacetin, analgesic mixtures containing",1,"Sup 7, 100A",2012,2008.0,
,,Pickled vegetables (traditional Asian),2B,56,1993,1992.0,
,,"Polychlorinated biphenyls, dioxin-like, with a Toxicity Equivalency Factor (TEF) according to WHO (PCBs 77, 81, 105, 114, 118, 123, 126, 156, 157, 167, 169, 189)",1,107,2016,2013.0,NB Overall evaluation upgraded to Group 1 with strong supporting evidence from other relevant data
,,"Polychlorinated dibenzo-para-dioxins (other than 2,3,7,8-tetrachlorodibenzo-para-dioxin)",3,69,1997,1997.0,
,,"Polychlorinated dibenzofurans (see 2,3,4,7,8-Pentachlorodibenzofuran)",3,69,1997,1997.0,
,,"Polychlorophenols and their sodium salts (mixed exposures) (see Pentachlorophenol; 2,4,6-Trichlorophenol)",2B,"53, 71",1999,1998.0,
,,Polymeric implant prepared as thin smooth films (with the exception of poly-glycolic acid),2B,74,1999,1999.0,
,,Printing inks,3,65,1996,1995.0,
,,Printing processes (occupational exposures in),2B,65,1996,1995.0,
,,Processed meat (consumption of),1,114,2018,2015.0,
,,Proflavine salts,3,"24, Sup 7",1987,1987.0,
,,Progestins (see also Progestogen-only contraceptives),2B,Sup 7,1987,1987.0,
,,Progestogen-only contraceptives,2B,72,1999,1998.0,
,,Pulp and paper manufacture,3,"25, Sup 7",1987,1987.0,
,,Radiofrequency electromagnetic fields,2B,102,2013,2011.0,
,,"Radioiodines, including iodine-131",1,"78, 100D",2012,2009.0,
,,"Radionuclides, alpha-particle-emitting, internally deposited",1,"78, 100D",2012,2009.0,NB Specific radionuclides for which there is sufficient or limited evidence in humans are also listed individually as Group 1 agents
,,"Radionuclides, beta-particle-emitting, internally deposited",1,"78, 100D",2012,2009.0,NB Specific radionuclides for which there is sufficient evidence in humans are also listed individually as Group 1 agents
,,Red meat (consumption of),2A,114,2018,2015.0,
,,Refractory ceramic fibres,2B,"43, 81",2002,2001.0,
,,Rock (stone) wool,3,"43, 81",2002,2001.0,
,,Rubber manufacturing industry,1,"28, Sup 7, 100F",2012,2009.0,
,,SV40 polyomavirus,3,104,2014,2012.0,
,,"Salted fish, Chinese-style",1,"56, 100E",2012,2009.0,
,,Silicone breast implants,3,74,1999,1999.0,
,,Slag wool,3,"43, 81",2002,2001.0,
,,"Solar radiation (see Ultraviolet radiation (wavelengths 100–400 nm, encompassing UVA, UVB, and UVC); Ultraviolet radiation from welding; and Ultraviolet-emitting tanning devices)",1,"55, 100D",2012,2009.0,
,,Soluble cobalt(II) salts,2A,"52, 86, 131",2023 online,2022.0,
,,Soot (as found in occupational exposure of chimney sweeps),1,"35, Sup 7, 92, 100F",2012,2009.0,
,,Special-purpose fibres such as E-glass and '475' glass fibres,2B,81,2002,2001.0,
1099,,Sulfites,3,54,1992,1991.0,
,,Sunlamps and sunbeds (see Ultraviolet-emitting tanning devices),,,,,
,,"Surgical implants (see Ceramic implants, Dental materials, Implanted foreign bodies, Metallic implants, Organic polymeric materials, Orthopaedic implants, Polymeric implants, Silicone breast implants)",,,,,
,,Tea,3,51,1991,1990.0,
,,Testosterone (see Androgenic (anabolic) steroids),,,,,
,,Tetrakis(hydroxymethyl)phosphonium salts,3,"48, 71",1999,1998.0,
,,Textile manufacturing industry (work in),2B,48,1990,1989.0,
,,"Tobacco smoke, second-hand",1,"83, 100E",2012,2009.0,
,,Tobacco smoking,1,"83, 100E",2012,2009.0,
,,"Tobacco, smokeless",1,"Sup 7, 89, 100E",2012,2009.0,
,,Toxins derived from certain Fusarium species (see Fusarium),,,,,
104894,,Trivalent antimony,2A,"47, 131",2023 online,2022.0,
,,"Ultraviolet radiation from welding (see Ultraviolet radiation (wavelengths 100–400 nm, encompassing UVA, UVB, and UVC); Ultraviolet-emitting tanning devices; and Solar radiation)",1,"100D*, 118**",2018 online,2017.0,*Volume 100D concluded that there is sufficient evidence for ocular melanoma in welders; **Volume  118 concluded that ultraviolet emissions from welding are carcinogenic to humans (Group 1; there is  sufficient evidence in humans for the carcinogenicity of ultraviolet radiation from welding)
,,"Ultraviolet radiation (wavelengths 100–400 nm, encompassing UVA, UVB, and UVC) (see Ultraviolet radiation from welding; Ultraviolet-emitting tanning devices; and Solar radiation)",1,"55, 100D",2012,2017.0,NB Overall evaluation upgraded to Group 1 based on mechanistic and other relevant data
,,"Ultraviolet-emitting tanning devices (see Ultraviolet radiation (wavelengths 100–400 nm, encompassing UVA, UVB, and UVC); Ultraviolet radiation from welding; and Solar radiation)",1,100D,2012,2009.0,
,,Urethane (see Ethyl carbamate),,,,,
,,Very hot beverages at above 65 °C (drinking),2A,116,2018 online,2016.0,
,,Weapons-grade tungsten (with nickel and cobalt) alloy,2B,131,2023 online,2022.0,
,,Welding fumes,1,"49, 118",2018 online,2017.0,
,,Wood dust,1,"62, 100C",2012,2009.0,
,,"Wood smoke (see Biomass fuel, indoor emissions from household combustion)",,,,,
,,X- and Gamma-Radiation,1,"75, 100D",2012,2009.0,
7474,100-00-5,4-Chloronitrobenzene,2B,"65, 123",2020 online,2018.0,
,100-17-4,para-Nitroanisole,2B,123,2020 online,2018.0,
7499,100-40-3,4-Vinylcyclohexene,2B,"Sup 7, 60",1994,1994.0,
7500,100-41-4,Ethylbenzene,2B,77,2000,2000.0,
7501,100-42-5,Styrene,2A,"60, 82, 121",2019,2018.0,
7526,100-75-4,N-Nitrosopiperidine,2B,"17, Sup 7",1987,1987.0,
,10043-66-0,Iodine-131 (see Radioiodines),,,,,
,10043-92-2,Radon-222 and its decay products,1,"43, 78, 100D",2012,2009.0,
5280389,10048-13-2,Sterigmatocystin,2B,"10, Sup 7",1987,1987.0,
441575,10048-32-5,Parasorbic acid,3,"10, Sup 7",1987,1987.0,
,10098-97-2,Strontium-90 (see Fission products),,,,,
,101-14-4,"4,4'-Methylenebis(2-chloroaniline) (MOCA)",1,"Sup 7, 57, 99, 100F",2012,2009.0,NB Overall evaluation upgraded to Group 1 based on mechanistic and other relevant data
2728,101-21-3,Chloropropham,3,"12, Sup 7",1987,1987.0,
7549,101-25-7,Dinitrosopentamethylenetetramine,3,"11, Sup 7",1987,1987.0,
,101-61-1,"Michler’s base [4,4´-methylenebis(N,N-dimethyl)­benzenamine]",2B,"27, Sup 7, 99",2010,2008.0,
7570,101-68-8,"4,4'-Methylenediphenyl diisocyanate",3,"19, Sup 7, 71",1999,1998.0,
7577,101-77-9,"4,4'-Methylenedianiline",2B,"39, Sup 7",1987,1987.0,
7579,101-80-4,"4,4'-Diaminodiphenyl ether",2B,"29, Sup 7",1987,1987.0,
7586,101-90-6,Diglycidyl resorcinol ether,2B,"36, Sup 7, 71",1999,1998.0,
445434,101043-37-2,Microcystin-LR,2B,94,2010,2006.0,
7610,102-50-1,meta-Cresidine,3,"27, Sup 7",1987,1987.0,
7618,102-71-6,Triethanolamine,3,77,2000,2000.0,
61002,103-03-7,Phenicarbazide,3,"12, Sup 7",1987,1987.0,
7636,103-11-7,2-Ethylhexyl acrylate,2B,"60, 122",2019,2018.0,
7641,103-23-1,Di(2-ethylhexyl) adipate,3,"Sup 7, 77",2000,2000.0,
2272,103-33-3,Azobenzene,3,"8, Sup 7",1987,1987.0,
,103-90-2,Acetaminophen (see Paracetamol),,,,,
,103-90-2,Paracetamol (Acetaminophen),3,"50, 73",1999,1998.0,
3032555,10380-28-6,Copper 8-hydroxyquinoline,3,"15, Sup 7",1987,1987.0,
7732,104-94-9,para-Anisidine,3,"27, Sup 7",1987,1987.0,
7737,105-11-3,para-Benzoquinone dioxime,3,"29, Sup 7, 71",1999,1998.0,
2735009,105-55-5,"N,N'-Diethylthiourea",3,79,2001,2000.0,
7768,105-60-2,Caprolactam,3,"39, Sup 7, 71",1999,1998.0,Moved to Group 3 following 2019 update to the IARC Monographs Preamble
