band_g,error_g,band_r,error_r,band_i,error_i,band_z,error_z,band_Y,error_Y,name,component,IS,RA,dRA,DEC,dDEC,ra,dec,z_s,z_l,photometric_system,Telescope,instrument,Bibcode,notes
20.86,0.01,20.62,0.01,20.49,0.01,20.39,0.02,20.17,0.02,J0013+5119,A,ima,-0.83,0.01,1.55,0.02,3.34808,51.31822,2.63,,AB,Pan-STARRS,PS1,2019MNRAS.483.4242L,
21.31,0.01,20.77,0.02,20.54,0.02,20.36,0.03,20.29,0.05,J0013+5119,B,ima,-0.02,0.01,-1.28,0.02,3.34808,51.31822,2.63,,AB,Pan-STARRS,PS1,2019MNRAS.483.4242L,
20.55,0.02,19.11,0.02,18.41,0.02,18.11,0.02,17.81,0.02,J0013+5119,G,lens,0.0,0.01,0.0,0.02,3.34808,51.31822,2.63,,AB,Pan-STARRS,PS1,2019MNRAS.483.4242L,
21.03,0.01,20.68,0.01,20.74,0.02,20.8,0.03,20.75,0.04,J0047+2514,A,ima,0.77,0.02,-1.05,0.02,11.94659,25.24085,1.2,,AB,Pan-STARRS,PS1,2019MNRAS.483.4242L,
21.36,0.05,21.47,0.12,21.74,0.28,,,,,J0047+2514,B,ima,-0.21,0.02,0.39,0.02,11.94659,25.24085,1.2,,AB,Pan-STARRS,PS1,2019MNRAS.483.4242L,
21.2,0.07,19.34,0.03,18.68,0.03,18.44,0.03,18.28,0.05,J0047+2514,G,lens,0.0,0.02,0.0,0.02,11.94659,25.24085,1.2,,AB,Pan-STARRS,PS1,2019MNRAS.483.4242L,
19.37,0.01,19.35,0.01,19.21,0.01,19.0,0.01,19.11,0.01,J0102+2445,A,ima,1.73,0.01,-0.71,0.01,15.6965,24.7543,2.085,,AB,Pan-STARRS,PS1,2019MNRAS.483.4242L,
20.9,0.02,20.74,0.05,20.69,0.06,20.04,0.04,20.37,0.08,J0102+2445,B,ima,-0.23,0.01,0.34,0.01,15.6965,24.7543,2.085,,AB,Pan-STARRS,PS1,2019MNRAS.483.4242L,
19.69,0.02,18.45,0.02,17.7,0.02,17.59,0.02,17.36,0.02,J0102+2445,G,lens,0.0,0.01,0.0,0.01,15.6965,24.7543,2.085,,AB,Pan-STARRS,PS1,2019MNRAS.483.4242L,
21.59,0.02,21.15,0.02,21.7,0.03,21.93,0.07,21.45,0.1,J0124-0033,A,ima,-0.84,0.02,-1.06,0.02,21.23943,-0.5533,2.84,,AB,Pan-STARRS,PS1,2019MNRAS.483.4242L,
21.14,0.06,21.21,0.07,21.11,0.06,21.03,0.16,20.68,0.19,J0124-0033,B,ima,0.3,0.02,0.56,0.02,21.23943,-0.5533,2.84,,AB,Pan-STARRS,PS1,2019MNRAS.483.4242L,
19.92,0.03,18.64,0.01,18.2,0.01,17.91,0.01,17.75,0.02,J0124-0033,G,lens,0.0,0.01,0.0,0.02,21.23943,-0.5533,2.84,,AB,Pan-STARRS,PS1,2019MNRAS.483.4242L,
21.22,0.01,20.53,0.01,20.37,0.01,19.93,0.01,20.02,0.02,J0203+1612,A,ima,0.85,0.02,1.53,0.02,30.9977,16.20213,2.18,,AB,Pan-STARRS,PS1,2019MNRAS.483.4242L,
22.08,0.03,21.11,0.03,20.97,0.04,20.67,0.05,20.47,0.1,J0203+1612,B,ima,-0.46,0.02,-0.87,0.02,30.9977,16.20213,2.18,,AB,Pan-STARRS,PS1,2019MNRAS.483.4242L,
21.71,0.04,20.22,0.04,19.3,0.04,18.81,0.04,18.78,0.05,J0203+1612,G,lens,0.0,0.02,0.0,0.03,30.9977,16.20213,2.18,,AB,Pan-STARRS,PS1,2019MNRAS.483.4242L,
19.99,0.02,19.76,0.03,19.9,0.03,19.32,0.04,19.32,0.04,J0228+3953,A,ima,1.03,0.01,0.19,0.01,37.046244,39.88536,2.07,,AB,Pan-STARRS,PS1,2019MNRAS.483.4242L,
20.65,0.02,20.36,0.04,20.15,0.04,19.92,0.05,19.87,0.09,J0228+3953,B,ima,-0.45,0.01,-0.31,0.01,37.046244,39.88536,2.07,,AB,Pan-STARRS,PS1,2019MNRAS.483.4242L,
,,21.05,0.19,20.66,0.17,19.85,0.16,19.54,0.18,J0228+3953,G,lens,0.0,0.03,0.0,0.03,37.046244,39.88536,2.07,,AB,Pan-STARRS,PS1,2019MNRAS.483.4242L,
20.76,0.01,20.62,0.01,20.52,0.01,20.49,0.02,20.39,0.02,J1238+2846,A,ima,-0.22,0.01,1.54,0.02,189.67778,28.78297,2.355,,AB,Pan-STARRS,PS1,2019MNRAS.483.4242L,
20.71,0.01,20.64,0.01,20.47,0.01,20.5,0.03,20.09,0.04,J1238+2846,B,ima,0.22,0.01,-0.84,0.02,189.67778,28.78297,2.355,,AB,Pan-STARRS,PS1,2019MNRAS.483.4242L,
,,22.08,0.16,21.38,0.15,20.28,0.15,20.09,0.12,J1238+2846,G,lens,0.0,0.05,0.0,0.07,189.67778,28.78297,2.355,,AB,Pan-STARRS,PS1,2019MNRAS.483.4242L,
20.41,0.01,20.23,0.03,19.84,0.02,19.67,0.02,19.69,0.04,J1515+3137,A,ima,0.32,0.01,-0.9,0.01,228.91601,31.62784,1.97,,AB,Pan-STARRS,PS1,2019MNRAS.483.4242L,
21.23,0.05,21.09,0.17,20.42,0.13,20.27,0.13,20.06,0.18,J1515+3137,B,ima,-0.3,0.01,0.49,0.01,228.91601,31.62784,1.97,,AB,Pan-STARRS,PS1,2019MNRAS.483.4242L,
21.16,0.07,19.87,0.03,19.85,0.06,19.46,0.05,19.03,0.06,J1515+3137,G,lens,0.0,0.03,0.0,0.06,228.91601,31.62784,1.97,,AB,Pan-STARRS,PS1,2019MNRAS.483.4242L,
19.86,0.01,19.67,0.01,19.72,0.02,19.46,0.03,19.29,0.04,J1518+4658,A,ima,-0.31,0.01,0.78,0.01,229.51286,46.97113,2.36,,AB,Pan-STARRS,PS1,2019MNRAS.483.4242L,
21.15,0.04,20.97,0.08,21.08,0.12,20.39,0.09,20.73,0.17,J1518+4658,B,ima,-0.18,0.01,-0.57,0.01,229.51286,46.97113,2.36,,AB,Pan-STARRS,PS1,2019MNRAS.483.4242L,
21.61,0.13,20.25,0.05,19.56,0.03,19.57,0.07,19.25,0.07,J1518+4658,G,lens,0.0,0.02,0.0,0.03,229.51286,46.97113,2.36,,AB,Pan-STARRS,PS1,2019MNRAS.483.4242L,
21.08,0.01,20.62,0.01,20.05,0.01,19.96,0.01,19.67,0.01,J1524+4801,A,ima,-1.19,0.02,-0.91,0.01,231.12428,48.02056,1.7,,AB,Pan-STARRS,PS1,2019MNRAS.483.4242L,
22.18,0.07,21.77,0.14,21.0,0.06,20.77,0.07,20.39,0.07,J1524+4801,B,ima,0.83,0.02,-0.0,0.01,231.12428,48.02056,1.7,,AB,Pan-STARRS,PS1,2019MNRAS.483.4242L,
20.52,0.03,19.26,0.03,18.73,0.03,18.53,0.03,18.27,0.07,J1524+4801,G,lens,0.0,0.02,0.0,0.01,231.12428,48.02056,1.7,,AB,Pan-STARRS,PS1,2019MNRAS.483.4242L,
20.16,0.01,20.08,0.01,19.79,0.01,19.8,0.02,19.65,0.02,J1537-3010,A,ima,-1.42,0.01,-0.82,0.01,234.3556,-30.17134,1.72,,AB,Pan-STARRS,PS1,2019MNRAS.483.4242L,
20.45,0.02,20.38,0.02,20.0,0.03,20.02,0.04,19.89,0.05,J1537-3010,B,ima,0.52,0.01,-1.07,0.01,234.3556,-30.17134,1.72,,AB,Pan-STARRS,PS1,2019MNRAS.483.4242L,
20.23,0.01,20.24,0.01,19.91,0.01,19.89,0.02,19.69,0.02,J1537-3010,C,ima,1.38,0.01,0.9,0.01,234.3556,-30.17134,1.72,,AB,Pan-STARRS,PS1,2019MNRAS.483.4242L,
21.24,0.03,20.99,0.03,20.65,0.04,20.48,0.05,20.45,0.06,J1537-3010,D,ima,-0.76,0.01,1.02,0.01,234.3556,-30.17134,1.72,,AB,Pan-STARRS,PS1,2019MNRAS.483.4242L,
20.63,0.07,20.18,0.07,19.35,0.06,18.98,0.06,18.78,0.05,J1537-3010,G,lens,0.0,0.04,0.0,0.06,234.3556,-30.17134,1.72,,AB,Pan-STARRS,PS1,2019MNRAS.483.4242L,
18.54,0.01,18.47,0.01,18.3,0.02,18.14,0.02,18.06,0.04,J1553+3149,A,ima,-1.08,0.01,-0.38,0.01,238.4092,31.82542,2.55,,AB,Pan-STARRS,PS1,2019MNRAS.483.4242L,
19.55,0.02,19.65,0.02,19.38,0.02,19.27,0.03,19.12,0.05,J1553+3149,B,ima,0.37,0.01,0.3,0.01,238.4092,31.82542,2.55,,AB,Pan-STARRS,PS1,2019MNRAS.483.4242L,
21.18,0.26,19.2,0.05,18.61,0.05,18.39,0.05,18.32,0.07,J1553+3149,G,lens,0.0,0.02,0.0,0.02,238.4092,31.82542,2.55,,AB,Pan-STARRS,PS1,2019MNRAS.483.4242L,
20.24,0.01,20.09,0.01,20.06,0.01,19.95,0.01,19.93,0.01,J1612+3920,A,ima,0.75,0.01,1.74,0.01,243.05136,39.34632,1.68,,AB,Pan-STARRS,PS1,2019MNRAS.483.4242L,
21.81,0.04,21.89,0.07,21.55,0.06,21.41,0.09,,,J1612+3920,B,ima,-0.44,0.01,-0.72,0.01,243.05136,39.34632,1.68,,AB,Pan-STARRS,PS1,2019MNRAS.483.4242L,
19.26,0.01,18.22,0.01,17.87,0.01,17.52,0.01,17.36,0.01,J1612+3920,G,lens,0.0,0.01,0.0,0.01,243.05136,39.34632,1.68,,AB,Pan-STARRS,PS1,2019MNRAS.483.4242L,
20.1,0.01,19.74,0.01,19.6,0.01,19.57,0.02,19.45,0.03,J1616+1415,A,ima,-0.28,0.01,-0.86,0.01,244.1934,14.26214,2.88,,AB,Pan-STARRS,PS1,2019MNRAS.483.4242L,
20.59,0.02,20.26,0.01,20.07,0.02,19.95,0.04,19.86,0.04,J1616+1415,B,ima,0.35,0.01,0.57,0.01,244.1934,14.26214,2.88,,AB,Pan-STARRS,PS1,2019MNRAS.483.4242L,
21.16,0.08,21.19,0.06,20.7,0.09,20.02,0.07,19.53,0.09,J1616+1415,G,lens,0.0,0.05,0.0,0.08,244.1934,14.26214,2.88,,AB,Pan-STARRS,PS1,2019MNRAS.483.4242L,
,,19.81,0.01,19.73,0.01,19.57,0.01,,,J1623+7533,A,ima,-0.64,0.01,-1.07,0.02,245.82049,75.55507,2.64,,AB,Pan-STARRS,PS1,2019MNRAS.483.4242L,
,,20.55,0.03,20.68,0.06,20.23,0.06,,,J1623+7533,B,ima,0.03,0.01,0.63,0.02,245.82049,75.55507,2.64,,AB,Pan-STARRS,PS1,2019MNRAS.483.4242L,
,,19.87,0.04,19.27,0.04,19.11,0.04,,,J1623+7533,G,lens,0.0,0.02,0.0,0.02,245.82049,75.55507,2.64,,AB,Pan-STARRS,PS1,2019MNRAS.483.4242L,
19.72,0.01,19.53,0.01,19.13,0.01,19.11,0.01,19.02,0.01,J1627-0224,A,ima,-0.86,0.01,2.74,0.01,246.9594,-2.40363,1.91,,AB,Pan-STARRS,PS1,2019MNRAS.483.4242L,
20.51,0.0,20.32,0.01,19.93,0.01,19.95,0.01,19.86,0.02,J1627-0224,B,ima,0.75,0.01,-0.66,0.01,246.9594,-2.40363,1.91,,AB,Pan-STARRS,PS1,2019MNRAS.483.4242L,
21.48,0.05,20.09,0.03,19.01,0.03,18.54,0.03,18.3,0.03,J1627-0224,G,lens,0.0,0.01,0.0,0.01,246.9594,-2.40363,1.91,,AB,Pan-STARRS,PS1,2019MNRAS.483.4242L,
20.06,0.01,19.91,0.01,,,20.09,0.01,,,J1653+5155,A,ima,0.39,0.01,-1.06,0.01,253.43865,51.91796,1.165,,AB,Pan-STARRS,PS1,2019MNRAS.483.4242L,
20.95,0.01,20.64,0.03,,,19.87,0.03,,,J1653+5155,B,ima,-0.41,0.01,0.25,0.01,253.43865,51.91796,1.165,,AB,Pan-STARRS,PS1,2019MNRAS.483.4242L,
21.46,0.03,20.1,0.02,,,19.07,0.02,,,J1653+5155,G,lens,0.0,0.02,0.0,0.01,253.43865,51.91796,1.165,,AB,Pan-STARRS,PS1,2019MNRAS.483.4242L,
19.26,0.01,18.87,0.01,18.5,0.01,18.48,0.01,18.24,0.02,J1817+2729,A,ima,0.67,0.01,0.42,0.01,274.37855,27.49447,3.07,,AB,Pan-STARRS,PS1,2019MNRAS.483.4242L,
22.24,0.12,21.81,0.11,21.62,0.12,21.7,0.32,21.04,0.23,J1817+2729,B,ima,0.83,0.01,-0.43,0.01,274.37855,27.49447,3.07,,AB,Pan-STARRS,PS1,2019MNRAS.483.4242L,
20.34,0.01,19.93,0.01,19.61,0.01,19.59,0.01,19.31,0.02,J1817+2729,C,ima,-0.61,0.01,-0.84,0.01,274.37855,27.49447,3.07,,AB,Pan-STARRS,PS1,2019MNRAS.483.4242L,
21.5,0.04,20.81,0.03,20.47,0.04,20.29,0.05,19.83,0.04,J1817+2729,D,ima,-0.61,0.01,0.63,0.01,274.37855,27.49447,3.07,,AB,Pan-STARRS,PS1,2019MNRAS.483.4242L,
22.73,0.28,20.63,0.07,19.92,0.05,19.33,0.06,19.23,0.08,J1817+2729,G,lens,0.0,0.03,0.0,0.03,274.37855,27.49447,3.07,,AB,Pan-STARRS,PS1,2019MNRAS.483.4242L,
18.96,0.03,18.56,0.03,18.82,0.04,18.7,0.05,18.73,0.1,J1949+7732,A,ima,0.51,0.01,-0.51,0.01,297.40117,77.54416,1.63,,AB,Pan-STARRS,PS1,2019MNRAS.483.4242L,
19.88,0.02,19.69,0.03,19.51,0.04,19.31,0.05,19.33,0.09,J1949+7732,B,ima,-0.77,0.01,0.44,0.01,297.40117,77.54416,1.63,,AB,Pan-STARRS,PS1,2019MNRAS.483.4242L,
,,19.55,0.1,18.98,0.1,18.59,0.09,18.32,0.11,J1949+7732,G,lens,0.0,0.02,0.0,0.02,297.40117,77.54416,1.63,,AB,Pan-STARRS,PS1,2019MNRAS.483.4242L,
19.43,0.03,19.48,0.02,19.44,0.03,19.31,0.04,18.87,0.08,J2132+2603,A,ima,0.83,0.01,0.76,0.01,323.0079,26.0517,2.26,,AB,Pan-STARRS,PS1,2019MNRAS.483.4242L,
20.63,0.05,20.74,0.04,20.61,0.07,20.44,0.09,20.01,0.14,J2132+2603,B,ima,-0.51,0.01,-0.39,0.01,323.0079,26.0517,2.26,,AB,Pan-STARRS,PS1,2019MNRAS.483.4242L,
21.3,0.24,20.77,0.13,19.75,0.08,19.37,0.08,19.01,0.12,J2132+2603,G,lens,0.0,0.04,0.0,0.04,323.0079,26.0517,2.26,,AB,Pan-STARRS,PS1,2019MNRAS.483.4242L,
17.79,0.01,17.28,0.01,16.71,0.01,16.69,0.01,16.54,0.01,J2145+6345,A,ima,0.0,0.01,0.0,0.01,326.27159,63.76145,1.56,,AB,Pan-STARRS,PS1,2019MNRAS.483.4242L,
17.7,0.01,17.04,0.0,16.51,0.0,16.46,0.0,16.26,0.01,J2145+6345,B,ima,0.33,0.01,-0.56,0.01,326.27159,63.76145,1.56,,AB,Pan-STARRS,PS1,2019MNRAS.483.4242L,
18.82,0.0,18.32,0.0,17.82,0.0,17.79,0.0,17.52,0.0,J2145+6345,C,ima,1.87,0.01,-0.88,0.01,326.27159,63.76145,1.56,,AB,Pan-STARRS,PS1,2019MNRAS.483.4242L,
19.14,0.0,18.55,0.0,18.08,0.0,17.91,0.0,17.72,0.0,J2145+6345,D,ima,1.37,0.01,0.81,0.01,326.27159,63.76145,1.56,,AB,Pan-STARRS,PS1,2019MNRAS.483.4242L,
18.58,0.01,18.32,0.01,18.02,0.01,18.13,0.02,18.12,0.05,J2250+2117,A,ima,-1.48,0.01,-0.16,0.01,342.64396,21.28988,1.73,,AB,Pan-STARRS,PS1,2019MNRAS.483.4242L,
20.39,0.02,19.87,0.02,19.72,0.04,19.96,0.07,19.72,0.11,J2250+2117,B,ima,0.37,0.01,0.04,0.01,342.64396,21.28988,1.73,,AB,Pan-STARRS,PS1,2019MNRAS.483.4242L,
,,,,19.71,0.09,19.07,0.09,19.32,0.18,J2250+2117,G,lens,0.0,0.05,0.0,0.02,342.64396,21.28988,1.73,,AB,Pan-STARRS,PS1,2019MNRAS.483.4242L,
21.17,0.01,21.03,0.01,20.82,0.01,20.72,0.01,20.77,0.02,J2350+3654,A,ima,-0.68,0.02,-2.0,0.02,357.53143,36.90959,2.085,,AB,Pan-STARRS,PS1,2019MNRAS.483.4242L,
21.4,0.01,21.52,0.04,21.1,0.02,20.76,0.03,21.19,0.08,J2350+3654,B,ima,1.14,0.02,0.77,0.02,357.53143,36.90959,2.085,,AB,Pan-STARRS,PS1,2019MNRAS.483.4242L,
22.74,0.04,22.8,0.12,21.9,0.04,21.79,0.06,21.16,0.06,J2350+3654,C,ima,-1.58,0.02,0.44,0.02,357.53143,36.90959,2.085,,AB,Pan-STARRS,PS1,2019MNRAS.483.4242L,
20.38,0.01,18.96,0.01,18.06,0.01,17.72,0.01,17.55,0.01,J2350+3654,G,lens,0.0,0.02,0.0,0.02,357.53143,36.90959,2.085,,AB,Pan-STARRS,PS1,2019MNRAS.483.4242L,
